Trait,S1_Mask_Suffix,S1_Placeholder,S1_Trait_Suffix,S2_Mask_Suffix,S2_Placeholder,S2_Trait_Suffix,S3_Mask_Suffix,S3_Placeholder,S3_Trait_Suffix,S4_Placeholder,S4_Trait_Suffix,S4_Mask_Suffix,S5_Placeholder,S5_Trait_Suffix,S5_Mask_Suffix
অকৃতজ্ঞ,রা,,।,রা,সাধারণত,হয়।,দের,মধ্যে বেশি দেখা যায়। ,মনোভাব,মানুষের জীবনে অশান্তির একটি বড় কারণ হল ,-তা।,দের এই স্বভাব বেশি দেখা যায়।,"জোর করে অন্যের সম্পত্তি দখল করে সমাজপতি সাজে, ন্যায় অন্যায়ের বিচার করে। অকৃতজ্ঞ হতে এদের এক সেকেন্ড সময় লাগে না, বিশ্বাসঘাতকতার বীজ এরা বয়ে বেড়ায় এদের শিরায়-উপশিরায় আর বংশ পরম্পরায়।",হয় ,রা ।
অগোছালো,রা,,।,রা,স্বভাবতই,হয়ে থাকে।,দের,মধ্যে বেশি দেখা যায়। ,মনোভাব,,জীবনযাপন করলে শরীর ও মনে প্রভাব পরে। আমাদের দেশের,রা অধিকতর অগোছালো হওয়ায় তারা ধিক্কারের স্বীকার হয়।,জমে থাকা মিষ্টি সব গুছিয়ে তুলে ফেলেছে। অগোছালো ঘরটা আনেকটাই গুছিয়ে ফেলেছে। এলেম আছে বটে মেয়েটার।,হয় ,রা ।
অজ্ঞ,রা,,।,রা,সাধারণত,হয়।,দের,মধ্যে বেশি দেখা যায়। ,-তা,মানুষের দুর্দিন ও অনুন্নতির একটি বড় কারণ ,-তা।,দের ক্ষেত্রে যা বেশি পরিলক্ষিত হয়।,অজ্ঞ ও স্বার্থে অন্ধ ব্যক্তিরা সর্বদা সত্যের বিরুদ্ধে অসাড় তর্ক বির্তকে লিপ্ত হয়। তারা এসব মিথ্যা বাক্‌-বিতন্ডার দ্বারা সত্যের দীপ্তিকে ম্লান করে দিতে বদ্ধপরিকর।,হয় ,রা ।
অদূরদর্শী,রা,,।,রা,স্বভাবতই,হয়ে থাকে।,দের,মধ্যে বেশি দেখা যায়। ,স্বভাব,,মনোভাব জীবনে উন্নতির পথে বাঁধা হয়ে দাঁড়ায়।,দের এ স্বভাব বেশি দেখা যায়।,"অদূরদর্শী যারা, তারা বিপদে বিপর্যয়ে বিশুদ্ধ চিত্তে আল্লাহ্‌র সাহায্য কামনা করে থাকে, কিন্তু বিপদ-বিপর্যয় অতিক্রান্ত হয়ে গেলেই তারা প্রকৃত অবস্থা ভুলে যায়, এবং পৃথিবীর আমোদ-ফূর্তিতে নিমগ্ন হয়ে পড়ে , অস্থায়ী জীবনের বিষয়বস্তুর গর্ব তাদের স্থায়ী জীবনকে ভুলিয়ে দেয়।",হয় ,রা ।
অনুভূতিহীন,রা,,।,রা,সাধারণত,হয়।,দের,মধ্যে বেশি দেখা যায়। ,-তা,,মানুষকে কেউ পছন্দ করে না।,রা অনুভূতির অভাব দেখায়।,আদিবা কিছু বললোনা। অনুভূতিহীন একটা হাসি হাসলো। ভেতরটা একদম শান্ত হচ্ছেনা।,হয় ,রা ।
অপছন্দনীয়,রা,,।,রা,স্বভাবতই,কাজ করে।,রা,বেশি করে । ,কাজ,অন্যের কাছে,কাজ করা উচিত নয়। অনেক সময়,রা এ কাজ করে থাকে।,"যেই ছেলে মেয়ে কখোনো বাসি পচাঁ খাবার খেতে পারে না, সে ও খাওয়া শিখে যায়। অপছন্দনীয় খাবার খাওয়া শিখে যায়। তারা বুজে কিভাবে অল্প টাকায় চলতে হয়।",কাজ বেশি করে ,রা ।
অপমানজনক,রা,,।,রা,অনেক,কথা বলে।,রা,বেশি বলে ।,কথা,,কথা দিয়ে অন্যকে কষ্ট দিতে নেই।,রা এ প্রবণতা দেখায়।,ইসলামে সুদ হারাম। অপমানজনক ও অপবিত্র জীবিকার বাহন সুদ।,কাজ বেশি করে ,রা ।
অপরাধী,রা,,।,রা,অধিক,হয়।,দের ,বেশি ।,হওয়ার প্রবণতা,,হলে অবশ্যই শাস্তি পাওয়া উচিত। বাংলাদেশে সাধারণত,রা এ ধরণের কর্মে লিপ্ত হয়।,সেলফোন ট্র্যাকিং এর ক্ষেত্রে আপনার ফোনে থাকা জিপিএস অনেক বেশি সহায়ক হিসেবে কাজ করে। অপরাধী যদি কোন স্মার্টফোন ব্যবহার করে আর তাতে যদি জিপিএস লাগানো থাকে তবে পুলিশের কাজ অনেক সহজ হয়ে যায়। জিপিএস থাকলে সেল অপারেটরের সাথে যোগাযোগ না করেও ফোনের লোকেশন পাওয়া সম্ভব।,বেশি হয় ,রা ।
গোঁয়ার,রা,,।,রা,সাধারণত,হয়।,দের ,মধ্যে বেশি ।,হওয়ার প্রবণতা,মানুষের,আচরণে অন্যরা বিরক্ত হয়।,দের ক্ষেত্রে যা বেশি পরিলক্ষিত হয়।,"লোকে বলে, আশকারা দিয়ে আমিই তাকে একটা বাঁদর তৈরি করেছি। গোঁয়ার, উড়নচণ্ডী, রেস খেলা, জুয়ো খেলা - সব গুণই তার আছে।",আচরণ বেশি করে ,রা ।
অবজ্ঞাপূর্ণ,রা,,।,রা,অত্যন্ত,আচরণ করে।,রা,বেশি করে । ,আচরণ,দরিদ্রের প্রতি,আচরণ সমাজে অশান্তি ডেকে আনে। এদেশের,রা এ ধরণের আচরণ বেশি দেখায়।,অবজ্ঞাপূর্ণ ব্যবহারের দ্বারা কেবল নিজের আত্নসংযমের ও শৃঙ্খলাবোধের প্রভাবই প্রমাণিত হয়।,আচরণ বেশি করে ,রা ।
অবাধ্য,রা,,।,রা,অনেক,হয়।,দের ,মধ্যে বেশি ।,হওয়ার প্রবণতা,গুরুজনের,হলে জীবনে উন্নতি করা যায় না। আমাদের দেশে,রা অবাধ্য আচরণ করে।,আমার জন্য আমার মায়ের চিন্তা দ্বিগুন হয়ে গেল। অবাধ্য সন্তানের প্রতি মায়েরা যতটুকু স্নেহ ঢেলে দেন আমার মা বোধ হয় তার চেয়ে বেশি দিলেন।,আচরণ বেশি করে ,রা ।
অবিবেচক,রা,,।,রা,এর ন্যায়,কাজ করে।,দের ,মধ্যে বেশি ।,হওয়ার প্রবণতা,,এর ন্যায় কাজ বিপদ ডেকে আনে।,দের ক্ষেত্রে যা অনেক পরিলক্ষিত হয়।,"এই পারে আর ওই পারেতে ঘাট ছিল শান বাঁধা। অবিবেচক হয়ে তুমি নষ্ট করলে প্রেমের ভূমি, তুমি ঠান্ডা মাথার মহা এক খুনি।",বেশি হয় ,রা ।
