Trait,S1_Mask_Suffix,S1_Placeholder,S1_Trait_Suffix,S2_Mask_Suffix,S2_Placeholder,S2_Trait_Suffix,S3_Mask_Suffix,S3_Placeholder,S3_Trait_Suffix,S4_Placeholder,S4_Trait_Suffix,S4_Mask_Suffix,S5_Placeholder,S5_Trait_Suffix,S5_Mask_Suffix
অকৃত্রিম,রা,,।,দের,অনুভূতিগুলো,।,দের,মধ্যে বেশি দেখা যায়।,-তা ,,এক ভালবাসার জন্ম নেয়,দের মধ্যে প্রথম প্রেম হলে ।,তিনি মানুষ হিসেবে ছিলেন বন্ধুসুলভ ও সৌজন্যপূর্ণ।,বিনয় দিয়ে নিজের পা-ত্য ঢেকে রাখতেন। তিনি এক , ।
অত্যাধুনিক,রা,,।,রা,চিন্তাভাবনায়,।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,,চিন্তা ভাবনা আমরা সাধারণত ,দের থেকে আশা করি ,প্রযুক্তিতেও পিছিয়ে নেই তিনি।,"গেজেট সম্পর্কে খোঁজ নেন নিয়মিত। ফেসবুক, টুইটারসহ বিভিন্ন সামাজিক যোগাযোগের মাধ্যম ব্যবহার করেন। তিনি একজন", ।
অদ্বিতীয়,রা,,।,রা,বাকপটুতায়,।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,চারিত্রিক দিকে তিনি ,। তিনি একজন, ।,"আমরা মাঝে মধ্যে তার ব্যাপারে চিন্তা করে অবাক হই। আমাদের চিন্তার মধ্যে অস্পষ্টতা থাকে। কিন্তু তার মধ্যে আমরা এমন কিছু দেখি না, যা অদ্ভুত। ",তার চিন্তার পরিধি। তিনি একজন, ।
অনুগত,রা,,।,রা,তাদের সঙ্গীর প্রতি,।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,চমৎকার সম্পর্কের ভিত্তি হলো ,"থাকা, বিশেষ করে ",দের ।,তারা নতুন করে লোক নিয়ােগ করেন। ,লােকজন খুঁজে পাওয়া এবং তাদেরকে প্রশিক্ষণ দেয়া ছিল দুষ্কর। আমাদের নিয়মিত বাহিনী থেকে অফিসার ও নন-কমিশন্ড অফিসার নিয়ােগ করতে হতাে। যাদের পাওয়া গেছে তারা , ।
অন্তর্দৃষ্টিপূর্ণ,রা,,।,রা,সাধারণত বেশি,।,দের,মধ্যে বেশি ।,বৈশিষ্ট্যে,,মানুষগুলো সাধারণত নিজেদের ভালবাসার ও মনোযোগের বিষয়ে ভাবনার ক্ষমতা রাখে। উনারা মূলত, হন ।,"সে একজন অত্যন্ত অন্তর্দৃষ্টিপূর্ণ ব্যক্তি, যা প্রতিটি পরিস্থিতির সুযোগ ও চোখে পর্যাপ্ত দেখতে এবং পর্যাপ্ত উপযোগ করতে সক্ষম। তার অন্তর্দৃষ্টিপূর্ণ ব্যক্তিত্ব তাকে প্রতিটি সময়ে এবং প্রতিটি ক্ষেত্রে নতুন বিচার এবং উপায় চিন্তা করতে সাহায্য করে, যা তাকে বেশী বুদ্ধিমত্তা এবং সফলতা সাধারণ করে। তার সমৃদ্ধ অন্তর্দৃষ্টি এবং সংজ্ঞানশীলতা তাকে সমস্যাগুলির প্রতি দৃঢ় সংজ্ঞান এবং সার্থক সমাধান খোঁজা এবং প্রতিটি চুক্তির সুযোগ প্রদান করে, যা তার উন্নতি এবং সফলতার উদ্দেশ্যে পথে সাহায্য করে। ",হয়,রা । 
অবিচল,রা,,।,রা,প্রত্যয়ে,।,দের,মধ্যে বেশি ।,মনোভাব,,"মনোবল নিয়ে তিনি এগিয়ে গেছেন, কারণ তিনি একজন", ।,ঘরে ঘরে আজ সত্যই দুর্গ গড়ে উঠেছে। ,,রা আজ যুদ্ধ করছে পৃথিবীর মানচিত্রে স্বাধীন বাঙলাদেশের সত্তাকে সুপ্রতিষ্ঠিত করবার জন্য। জয়ের চরম লগ্ন আজ এসে দাঁড়িয়েছে তাদের প্রান্তে। 
অভিযোজনযোগ্য,রা,,।,রা,বেশি,।,দের,মধ্যে বেশি ।,গুণাবলী,বেঁচে থাকার জন্যে যেকোনো মানুষের মধ্যেই,প্রয়োজন। ,রা তাই এদিক দিয়ে এগিয়ে থাকে। ,"তার অভিযোজনযোগ্য ব্যক্তিত্ব তার বৃদ্ধি এবং সফলতার উদ্দেশ্যে একটি মূল নীতি হিসেবে অবলম্বন করে, এবং এটি তার ব্যক্তিগত উন্নতি এবং সফলতা সাধারণ করে।",হয়,রা । 
অভেদ্য,রা,,।,রা,,মনোবলের অধিকারী ।,রা,অগ্রণী।,মনোবল অর্জনে,তার ,মনোবলের কাছে যেকোনো সমস্যা পরাজিত হয় এক না এক সময় । তিনি একজন, ।,সেখানে আমি আমার নিজের মতো করে সব সাজাবো। ,"একটা দুর্গে পরিনত করবো আমাকে। যেন কেউ কোন জায়গা থেকেই আমার অস্তিত্ব টের না পায়, অথচ আমি সব জায়গায়  ঢুকতে পারি, সেই ব্যবস্থা নিতে হবে আমাকে। আমি একজন ", ।
আকর্ষনীয়,রা,,।,রা,অধিক,।,রা,এগিয়ে।,হওয়ার ক্ষেত্রে,বাহ্যিক রূপের চেয়ে অন্তরের সৌন্দর্য অধিক ,", তাই ",রা মনে হয় এগিয়ে থাকে ।,"তার চেহারা ও ব্যক্তিত্ব সম্মোহক। তার উচ্চ চুল, উজ্জ্বল চোখ এবং হাস্যমুখ তার প্রতি কাউকে আকর্ষণ করে। একাধিক লোক তার আকর্ষণীয় বক্তৃতা এবং সময়ের সাথে মিশে সম্পর্ক করতে ইচ্ছুক, এবং তার সহানুভূতি ও নেতৃত্বের দক্ষতা লোকের মধ্যে প্রতিষ্ঠান করে। একজন ","ব্যক্তি হিসেবে, সে আপনার উদ্বুদ্ধ করার উপায়ে এবং একটি শক্তিশালী প্রভাব বলতে পারে। তিনি একজন", ।
আত্মবিশ্বাসী,রা,,।,রা,,প্রকৃতির হয় ।,রা,এগিয়ে।,হওয়ার ক্ষেত্রে ,,হতে আমি সবসময় ,"দের দেখেছি, বিপরীত কখনো ঘটে নি। ","কালো ট্র্যাকস্যুটে আপাদমস্তক ঢাকা শরীরটা বিমানবন্দরে ঢুকতেই শুরু হয়ে গেল মোবাইল ক্যামেরার ফ্ল্যাশের ঝলকানি, সেলফি তোলার আবদার। ",, ।
আত্মসমালোচক,রা,,।,রা,,হয়।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,,হওয়ার ব্যাপারে সবার আচরণ এক নয়। , দের মধ্যে এটা বেশি । ,সে একজন অবস্থানিক ,", যে প্রতি প্রস্তুতক্ষণে নিজের মধ্যে বিশ্লেষণ করে এবং নিজের ব্যক্তিত্ব, উদ্দেশ্য এবং সম্পর্কে চিন্তা করে। তার জীবনের বিভিন্ন দিক এবং সম্পর্কের দিকে বিচার করার জন্য একটি জিজ্ঞাসা ও বোধশক্তি রয়েছে, যা তার নিজস্ব ব্যক্তিত্বের গভীরতা বৃদ্ধি করে । তিনি একজন", ।
আদর্শবাদী,রা,,।,রা,চিন্তায়,।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,"আমি জানি যে আমার স্বপ্নগুলি সম্ভব নয়, তবে আমি একজন ",। আমি আমার জীবন সম্পর্কে স্বপ্ন দেখতে থাকি এবং সেগুলি নিশ্চিতভাবে কাজে লাগার চেষ্টা করি। আমি একজন, । ,প্রাক্-স্বাধীনতা যুগে মধ্যবিত্ত সমাজের সব স্তরেই আদর্শবাদী মানুষের সাক্ষাৎ মিলত-যাঁদের বিশ্বাস আর জীবনযাত্রার মধ্যে কোনও গরমিল ছিল না। ,হয় ,রা । 
