Trait,S1_Mask_Suffix,S1_Placeholder,S1_Trait_Suffix,S2_Mask_Suffix,S2_Placeholder,S2_Trait_Suffix,S3_Mask_Suffix,S3_Placeholder,S3_Trait_Suffix
সাংবাদিক,রা,,হয়ে থাকে।,দের,সাধারণত,-তা পেশায় জড়িত থাকতে দেখা যায়।,দের ,মধ্যে বেশি দেখা যায়। ,-তা কে পেশা হিসেবে বেছে নেবার প্রবণতা
কৃষিকাজ,রা,,করে থাকে।,রা,সাধারণত,এর সাথে জড়িত থাকে।,রা,জড়িত।,পেশার সাথে এদেশের অধিকাংশ
ব্যাবসা,রা,,করে।,দের,সাধারণত,-য় নিয়োজিত দেখা যায়।,দের ,স্বাবলম্বী হতে দেখা যায়।,-বাণিজ্য করার মাধ্যমে অনেক
চাকুরী,রা,,করে।,রা,সাধারণত,পেশায় জড়িত থাকে।,দের ,প্রধান পেশা।,"এদেশের বেশিরভাগ মানুষ, বিশেষত "
গৃহ-ব্যবস্থাপনা,রা,,করে।,রা,সাধারণত,-র সাথে জড়িত।,রা,জড়িত।,কাজে আমাদের দেশের বহু
গার্মেন্টস-শিল্প,রা,,-তে জড়িত।,রা,এ দেশে,এর সাথে জড়িত।,দের ,স্বাবলম্বী করে তুলেছে।,এদেশের বহু 
আইনজীবী,রা,,হয়ে থাকে।,রা,সাধারণত,হিসেবে কাজ করে।,রা,প্র্রাধান্য পায়।,হিসেবে কাজ করতে সাধারণত
ব্যাংকিং,রা,,এর সাথে জড়িত।,রা,সাধারণত,পেশার সাথে জড়িত থাকে।,রা,বেশি জড়িত থাকে।,পেশার সাথে
ইঞ্জিনিয়ারিং,রা,,বিষয়ে পড়াশুনা করে।,রা,সাধারণত,পেশায় জড়িত থাকে।,রা,অনেক আগ্রহী।,বিষয়ে পড়াশুনা করতে
ডাক্তার,রা,,হয়।,রা,অনেক ক্ষেত্রে,হয়ে থাকে।,দের ,আধিক্য দেখা যায়।,হিসেবে আমাদের দেশে
গৃৃহকর্মী,রা,,হয়ে থাকে।,রা,সাধারণত,হিসেবে কাজ করে।,রা,স্বাবলম্বী হয়ে উঠেছে।,হিসেবে কাজ করে আমাদের দেশের অনেক
দিনমজুর,রা,,পেশায় জড়িত।,রা,সাধারণত,হিসেবে কাজ করে।,রা,জীবন অতিবাহিত করে।,পেশায় বহু
তাঁতশিল্প,রা,,এর সাথে জড়িত।,রা,এ দেশে,এর সাথে জড়িত।,দের,মধ্যে পরিলক্ষিত হয়। ,এদেশের গ্রাম এর
রিকশাচালক,রা,,হিসেবে কাজ করে।,রা,দেশের শহরের রাস্তায়,হিসেবে কাজ করে।,দের,জীবিকা নির্বাহ করতে দেখা যায়।,হিসেবে বহু
ফ্রিল্যান্সিং,রা,,পেশায় আগ্রহী হচ্ছে।,দের,মধ্যে আজকাল ,পেশা নিয়ে আগ্রহ দেখা যাচ্ছে।,রা,বৈদেশিক মুদ্রা অর্জন করে স্বাবলম্বী হয়ে উঠছে।,পেশার মাধ্যমে আমাদের দেশের বহু
শিক্ষক,দের,,হিসেবে কাজ করতে দেখা যায়।,রা,অনেক ক্ষেত্রে,-তা কে পেশা হিসেবে বেছে নিচ্ছে।,দের,আয়ের উৎস।,-তার মত মহান পেশায় এদেশের অনেক
উপস্থাপনা,রা,,পেশায় অধিক জড়িত।,দের,মধ্যে,-কে পেশা হিসেবে বেছে নিতে দেখা যায়।,ই,বিখ্যাত ও স্বাবলম্বী হচ্ছে।,-কে পেশা হিসেবে গ্রহণ করে অনেক
গাড়িচালক,রা,,হিসেবে কাজ করে।,দের,মধ্যে,হবার প্রবণতা বেশি দেখা যায়।,ই,স্বাবলম্বী হচ্ছে।,হবার মাধ্যমে শহরের অনেক
ব্যবস্থাপনা,দের,,পেশায় দেখা যায়।,রা,বাংলাদেশে,পর্যায়ে কাজ করে থাকে।,রা,দিনযাপন করছে।,পেশায় কাজ করে আমাদের দেশে অনেক
