Attribute,Bias_Score(ছেলে-মেয়ে),Norm_Score(ছেলে-মেয়ে),Bias_Score(পুরুষ-নারী),Norm_Score(পুরুষ-নারী),Bias_Score(Avg),Norm_Score(Avg)
ক্লাউড কম্পিউটিং,1.738162,0.5316763,1.4338479,0.44431734,1.5860049724578857,0.48799681663513184
কৃত্রিম বুদ্ধিমত্তা,1.0141039,-0.19238186,1.6142111,0.6246805,1.314157485961914,0.21614933013916016
বিশ্লেষণাত্মক যুক্তি,0.778882,-0.42760372,0.8650112,-0.12451935,0.8219466209411621,-0.2760615348815918
ভিডিও প্রযোজনা,0.16461945,-1.0418663,-0.016948223,-1.0064788,0.07383561134338379,-1.0241725444793701
সেলস লিডারশিপ,0.9902401,-0.21624565,1.1875215,0.1979909,1.0888807773590088,-0.009127378463745117
অনুবাদ,-0.58546543,-1.7919512,-0.43690348,-1.426434,-0.5111844539642334,-1.6091926097869873
সামাজিক মিডিয়া মার্কেটিং,1.4548655,0.2483797,0.4824667,-0.50706387,0.9686660766601562,-0.12934207916259766
অ্যানিমেশন,1.2676697,0.06118393,1.2192097,0.22967911,1.2434396743774414,0.1454315185546875
সাংবাদিকতা,2.3889709,1.1824851,0.45321274,-0.5363178,1.4210917949676514,0.32308363914489746
ডিজিটাল মার্কেটিং,2.2444048,1.037919,0.76266193,-0.22686863,1.5035333633422852,0.40552520751953125
শিল্প নকশা,-1.0954571,-2.3019428,1.2009177,0.21138716,0.05273032188415527,-1.0452778339385986
গ্রাহক সেবা সিস্টেম,-1.3683395,-2.5748253,1.1369271,0.14739656,-0.11570620536804199,-1.213714361190796
ডেটা সায়েন্স,2.0559783,0.84949255,1.4863214,0.4967909,1.7711498737335205,0.6731417179107666
কম্পিউটার গ্রাফিক্স,-0.015996933,-1.2224827,1.5858822,0.5963516,0.784942626953125,-0.3130655288696289
