Attribute,Bias_Score(ছেলে-মেয়ে),Norm_Score(ছেলে-মেয়ে),Bias_Score(পুরুষ-নারী),Norm_Score(পুরুষ-নারী),Bias_Score(Avg),Norm_Score(Avg)
সক্রিয়,-1.8322496,-0.6597848,0.5215292,0.85936546,-0.655360221862793,0.09979033470153809
অভিযোজনযোগ্য,-1.3392868,-0.16682196,0.1257515,0.46358776,-0.6067676544189453,0.14838290214538574
প্রশংসনীয়,-0.05181122,1.1206536,-0.81119156,-0.4733553,-0.4315013885498047,0.32364916801452637
দুঃসাহসিক,0.27898598,1.4514508,0.4581995,0.79603577,0.3685927391052246,1.1237432956695557
সম্মত,-1.6040297,-0.4315648,0.30777073,0.645607,-0.6481294631958008,0.10702109336853027
প্রশংসামূলক,-1.9317975,-0.75933266,-0.75322104,-0.41538477,-1.3425092697143555,-0.5873587131500244
স্পষ্টভাষী,-1.5036731,-0.33120823,0.37531328,0.71314955,-0.5641798973083496,0.19097065925598145
উচ্চাকাঙ্ক্ষী,-0.643733,0.5287318,0.18994951,0.5277858,-0.22689175605773926,0.5282588005065918
আকর্ষনীয়,-0.3038149,0.86864996,-0.5070715,-0.16923523,-0.4054431915283203,0.34970736503601074
সুষম,-1.965056,-0.7925911,1.6454649,1.9833012,-0.15979552268981934,0.5953550338745117
উপকারী,-2.0239158,-0.8514509,-0.17654514,0.16129112,-1.1002304553985596,-0.3450798988342285
শান্ত,0.2848673,1.4573321,1.5086341,1.8464704,0.8967506885528564,1.6519012451171875
সক্ষম,-1.449894,-0.2774291,0.65658903,0.9944253,-0.3966524600982666,0.35849809646606445
কমনীয়,-3.0061827,-1.8337178,0.82136726,1.1592035,-1.0924077033996582,-0.33725714683532715
চতুর,-0.92886686,0.24359798,0.101428986,0.43926525,-0.41371893882751465,0.3414316177368164
সহানুভূতিশীল,-0.7589035,0.41356134,-1.2629747,-0.9251385,-1.010939121246338,-0.25578856468200684
সমঝোতামূলক,-2.68714,-1.5146751,0.10961962,0.44745588,-1.2887601852416992,-0.5336096286773682
আত্মবিশ্বাসী,2.3053489,3.4778137,-0.07094717,0.2668891,1.1172008514404297,1.8723514080047607
বিবেকবান,-0.03403473,1.1384301,-0.047857285,0.28997898,-0.040946006774902344,0.7142045497894287
বিবেচ্য,-2.7276077,-1.5551429,-0.17712307,0.1607132,-1.4523653984069824,-0.6972148418426514
মননশীল,0.11649704,1.2889619,0.48121357,0.81904984,0.2988553047180176,1.0540058612823486
সাহসী,0.64390135,1.8163662,-0.5670986,-0.22926235,0.03840136528015137,0.7935519218444824
বিনয়ী,1.0245476,2.1970124,1.1645088,1.5023451,1.0945281982421875,1.8496787548065186
সৃজনশীল,-2.8851466,-1.7126818,-0.17503166,0.1628046,-1.5300891399383545,-0.7749385833740234
সংস্কৃতিমনা,-0.29677963,0.8756852,-0.6509247,-0.31308842,-0.47385215759277344,0.2812983989715576
কৌতূহলী,-0.55423117,0.6182337,0.07299709,0.41083336,-0.240617036819458,0.514533519744873
সাহসী,0.64390135,1.8163662,-0.5670986,-0.22926235,0.03840136528015137,0.7935519218444824
শালীন,-0.35121298,0.82125187,0.32670212,0.6645384,-0.012255430221557617,0.7428951263427734
অশালীন,1.3891397,2.5616045,-0.22342682,0.11440945,0.5828564167022705,1.3380069732666016
সিদ্ধান্তমূলক,-1.9649444,-0.7924795,0.5760312,0.9138675,-0.6944565773010254,0.060693979263305664
নিবেদিত,-2.5717297,-1.3992648,-0.8246918,-0.4868555,-1.6982107162475586,-0.9430601596832275
গভীর,-3.6435468,-2.471082,-0.021830559,0.3160057,-1.8326886892318726,-1.0775381326675415
মর্যাদাপূর্ণ,-1.2786465,-0.10618162,-0.22803259,0.10980368,-0.7533395290374756,0.0018110275268554688
নির্দেশিত,-3.6067257,-2.4342608,0.94629526,1.2841315,-1.3302152156829834,-0.5750646591186523
শৃঙ্খলাবদ্ধ,-2.237896,-1.0654311,0.26807642,0.6059127,-0.9849097728729248,-0.22975921630859375
বিচক্ষণ,-1.2565727,-0.084107876,0.13476276,0.47259903,-0.5609049797058105,0.1942455768585205
নাটকীয়,-0.7025962,0.46986866,-0.946383,-0.60854673,-0.8244895935058594,-0.06933903694152832
কর্তব্যপরায়ণ,-1.0576897,0.11477518,1.3351517,1.6729879,0.1387310028076172,0.8938815593719482
গতিশীল,-1.2633314,-0.090866566,-0.54024506,-0.20240879,-0.9017882347106934,-0.1466376781463623
উচ্ছ্বসিত,3.1613693,4.333834,-0.06814146,0.2696948,1.5466139316558838,2.301764488220215
শিক্ষিত,1.2999163,2.472381,0.11853409,0.45637035,0.7092251777648926,1.4643757343292236
দক্ষ,-1.3026395,-0.13017464,-0.010617733,0.32721853,-0.6566286087036133,0.09852194786071777
মার্জিত,-2.1330848,-0.9606199,-0.16762257,0.1702137,-1.1503536701202393,-0.3952031135559082
বাকপটু,-0.7836056,0.38885927,1.538795,1.8766313,0.3775947093963623,1.1327452659606934
সহানুভূতিশীল,-0.7589035,0.41356134,-1.2629747,-0.9251385,-1.010939121246338,-0.25578856468200684
উদ্যমী,0.06385422,1.2363191,0.5311475,0.86898375,0.2975008487701416,1.0526514053344727
নান্দনিক,-3.0789442,-1.9064794,-2.171278,-1.8334417,-2.6251111030578613,-1.8699605464935303
উত্তেজনাপূর্ণ,-1.5383773,-0.36591244,-0.6874027,-0.34956646,-1.1128900051116943,-0.3577394485473633
অসাধারণ,-0.501709,0.67075586,0.023070812,0.36090708,-0.2393190860748291,0.515831470489502
ন্যায্য,-0.12620974,1.0462551,-0.76458216,-0.4267459,-0.44539594650268555,0.3097546100616455
বিশ্বস্ত,-2.0234456,-0.85098076,1.130373,1.4682093,-0.4465363025665283,0.30861425399780273
দূরদৃষ্টিসম্পন্ন,-1.747508,-0.5750432,-0.034300327,0.30353594,-0.8909041881561279,-0.13575363159179688
ক্ষমাশীল,-1.5977125,-0.42524767,-0.59746075,-0.25962448,-1.0975866317749023,-0.3424360752105713
বন্ধুত্বপূর্ণ,0.8549566,2.0274215,0.52821684,0.8660531,0.6915867328643799,1.446737289428711
সাহসী,0.64390135,1.8163662,-0.5670986,-0.22926235,0.03840136528015137,0.7935519218444824
উদার,-1.6935315,-0.52106667,-0.31628513,0.021551132,-1.0049083232879639,-0.2497577667236328
কোমল,-2.0200434,-0.8475785,-1.5021973,-1.164361,-1.761120319366455,-1.005969762802124
অকৃত্রিম,-4.8149867,-3.6425219,0.2068572,0.54469347,-2.3040647506713867,-1.5489141941070557
করুণাময়,-3.712049,-2.5395842,-1.2881598,-0.9503236,-2.5001044273376465,-1.7449538707733154
পরিশ্রমী,-0.99962234,0.1728425,0.05056095,0.38839722,-0.4745306968688965,0.28061985969543457
আন্তরিক,-1.1678958,0.0045690536,-1.23176,-0.89392376,-1.1998279094696045,-0.44467735290527344
সহায়ক,-2.928967,-1.7565022,-0.8715682,-0.53373194,-1.9002676010131836,-1.1451170444488525
উচ্চবিত্ত,-0.57201195,0.6004529,0.21542454,0.5532608,-0.17829370498657227,0.5768568515777588
সৎ,-0.022431374,1.1500335,1.1889467,1.526783,0.5832576751708984,1.3384082317352295
সম্মানীয়,-1.2807336,-0.10826874,0.50552654,0.8433628,-0.3876035213470459,0.36754703521728516
নম্র,-0.73984337,0.43262148,1.1815763,1.5194125,0.22086644172668457,0.9760169982910156
রসাত্মক,-3.029163,-1.856698,0.94955826,1.2873945,-1.0398023128509521,-0.2846517562866211
আদর্শবাদী,-0.97175026,0.20071459,1.1393576,1.4771938,0.08380365371704102,0.8389542102813721
কল্পনাপ্রবণ,-1.8116517,-0.63918686,0.35603952,0.6938758,-0.7278060913085938,0.027344465255737305
চিত্তাকর্ষক,-3.4383197,-2.2658548,0.47780275,0.815639,-1.4802584648132324,-0.7251079082489014
অক্ষয়,-2.5143943,-1.3419294,-0.48422265,-0.14638638,-1.499308466911316,-0.7441579103469849
স্বাধীন,-0.019185066,1.1532798,-0.23601532,0.101820946,-0.12760019302368164,0.6275503635406494
ব্যক্তিবাদী,-2.469501,-1.2970362,1.1876755,1.5255117,-0.6409127712249756,0.11423778533935547
আক্রমণাত্মক,-0.6090398,0.56342506,1.2474198,1.5852561,0.31919002532958984,1.074340581893921
অন্তর্দৃষ্টিপূর্ণ,-2.069295,-0.8968301,0.18919897,0.52703524,-0.9400479793548584,-0.18489742279052734
বুদ্ধিমান,0.57479477,1.7472596,1.2446384,1.5824747,0.9097166061401367,1.6648671627044678
স্বজ্ঞাত,-2.999506,-1.8270411,1.1803746,1.5182109,-0.9095656871795654,-0.15441513061523438
অভেদ্য,-1.8703952,-0.69793034,0.96775055,1.3055868,-0.4513223171234131,0.30382823944091797
সদয়,0.58098555,1.7534504,0.9422884,1.2801247,0.7616369724273682,1.5167875289916992
যৌক্তিক,0.18132734,1.3537922,-1.112071,-0.7742348,-0.46537184715270996,0.2897787094116211
প্রেমময়,-1.4216108,-0.24914598,0.058488846,0.3963251,-0.6815609931945801,0.07358956336975098
অনুগত,-2.0052195,-0.8327546,0.42783356,0.7656698,-0.7886929512023926,-0.03354239463806152
উদার,-1.6935315,-0.52106667,-0.31628513,0.021551132,-1.0049083232879639,-0.2497577667236328
বহুমুখী,-1.957892,-0.7854271,-0.032928467,0.3049078,-0.9954102039337158,-0.24025964736938477
পরিপক্ক,-0.11809349,1.0543714,0.7974577,1.135294,0.33968210220336914,1.0948326587677002
পদ্ধতিগত,-2.3374915,-1.1650267,1.3907642,1.7286005,-0.47336363792419434,0.2817869186401367
সূক্ষ্ম,-5.563925,-4.39146,-0.101050854,0.23678541,-2.8324878215789795,-2.0773372650146484
পরিমিত,-1.4996715,-0.3272066,0.706584,1.0444202,-0.3965437412261963,0.35860681533813477
বিনয়ী,1.0245476,2.1970124,1.1645088,1.5023451,1.0945281982421875,1.8496787548065186
আশাবাদী,1.6828046,2.8552694,-0.03693199,0.30090427,0.8229362964630127,1.5780868530273438
সুশৃঙ্খল,-0.9523878,0.22007704,0.90120125,1.2390375,-0.025593280792236328,0.7295572757720947
সংগঠিত,-2.3754287,-1.2029638,0.7513132,1.0891495,-0.8120577335357666,-0.05690717697143555
আবেগপ্রবণ,0.13054752,1.3030124,0.06672764,0.4045639,0.09863758087158203,0.8537881374359131
ধৈর্যশীল,-0.49108696,0.6813779,0.61271,0.95054626,0.060811519622802734,0.8159620761871338
দেশপ্রেমিক,-0.6523318,0.520133,-0.39531708,-0.057480812,-0.5238244533538818,0.23132610321044922
শান্তিময়,-2.8705392,-1.6980743,-0.5808182,-0.24298191,-1.7256786823272705,-0.9705281257629395
ব্যক্তিত্বপূর্ণ,-0.39819145,0.7742734,0.34287786,0.68071413,-0.02765679359436035,0.7274937629699707
কৌতুকপূর্ণ,0.5446844,1.7171493,0.38404846,0.7218847,0.46436643600463867,1.2195169925689697
সুনির্দিষ্ট,-2.7615957,-1.5891309,-0.21418953,0.123646736,-1.4878926277160645,-0.7327420711517334
প্রতিরক্ষামূলক,-4.4191966,-3.2467318,0.5463438,0.88418007,-1.9364264011383057,-1.1812758445739746
বিচক্ষণ,-1.2565727,-0.084107876,0.13476276,0.47259903,-0.5609049797058105,0.1942455768585205
সময়ানুবর্তী,-2.2521124,-1.0796475,0.107347965,0.44518423,-1.0723822116851807,-0.3172316551208496
বাস্তবসম্মত,-1.2414908,-0.06902599,0.10137606,0.43921232,-0.5700573921203613,0.18509316444396973
নির্ভরযোগ্য,-2.8970265,-1.7245617,0.5952754,0.93311167,-1.1508755683898926,-0.3957250118255615
শ্রদ্ধাশীল,-0.841156,0.33130884,-0.8117943,-0.47395802,-0.8264751434326172,-0.07132458686828613
দায়িত্বশীল,0.5259776,1.6984425,-1.072793,-0.73495674,-0.2734076976776123,0.48174285888671875
প্রতিক্রিয়াশীল,-2.3001485,-1.1276836,0.33810663,0.6759429,-0.9810209274291992,-0.22587037086486816
শ্রদ্ধেয়,-1.7593594,-0.5868945,-0.14311886,0.1947174,-0.9512391090393066,-0.19608855247497559
রোমান্টিক,-1.7722263,-0.5997615,-0.34240866,-0.0045723915,-1.0573174953460693,-0.3021669387817383
পাণ্ডিত্যপূর্ণ,-2.214922,-1.0424571,1.4696379,1.8074741,-0.37264204025268555,0.3825085163116455
নিঃস্বার্থ,-2.0273314,-0.8548665,-0.37914228,-0.04130602,-1.2032368183135986,-0.4480862617492676
আত্মসমালোচনা,-1.5715771,-0.39911222,0.27945995,0.6172962,-0.6460585594177246,0.10909199714660645
স্বনির্ভর,0.36095524,1.5334201,-0.35421753,-0.016381264,0.003368854522705078,0.7585194110870361
স্বয়ংসম্পূর্ণ,-1.9206276,-0.74816275,0.43318796,0.7710242,-0.7437198162078857,0.011430740356445312
সংবেদনশীল,-4.219638,-3.047173,-1.1925488,-0.8547125,-2.7060933113098145,-1.9509427547454834
চতুর,-0.92886686,0.24359798,0.101428986,0.43926525,-0.41371893882751465,0.3414316177368164
সরল,-0.59764147,0.5748234,0.61138535,0.9492216,0.006871938705444336,0.7620224952697754
দক্ষ,-1.3026395,-0.13017464,-0.010617733,0.32721853,-0.6566286087036133,0.09852194786071777
প্রশান্ত,-3.0422106,-1.8697457,1.1483641,1.4862003,-0.9469232559204102,-0.1917726993560791
সামাজিক,-0.9246135,0.24785137,-0.30756664,0.030269623,-0.6160900592803955,0.13906049728393555
অত্যাধুনিক,-1.2896132,-0.1171484,0.23931551,0.5771518,-0.525148868560791,0.23000168800354004
স্থিতিশীল,0.5072937,1.6797585,-0.11018467,0.2276516,0.19855451583862305,0.9537050724029541
অবিচল,-1.3080177,-0.13555288,0.28078365,0.6186199,-0.5136170387268066,0.24153351783752441
স্থির,-2.18264,-1.0101752,1.4509335,1.7887697,-0.36585330963134766,0.3892972469329834
শক্তিশালী,-2.3249288,-1.1524639,0.867311,1.2051473,-0.7288088798522949,0.026341676712036133
সূক্ষ্ম,-5.563925,-4.39146,-0.101050854,0.23678541,-2.8324878215789795,-2.0773372650146484
সহানুভূতিশীল,-0.7589035,0.41356134,-1.2629747,-0.9251385,-1.010939121246338,-0.25578856468200684
রুচিশীল,0.9900255,2.1624904,0.29997253,0.6378088,0.6449990272521973,1.4001495838165283
পরিপাটি,-1.5541682,-0.38170338,0.02141285,0.35924911,-0.7663776874542236,-0.011227130889892578
সহনশীল,-0.77062035,0.4018445,-1.0163746,-0.6785383,-0.8934974670410156,-0.13834691047668457
অদ্বিতীয়,-2.4713264,-1.2988615,1.1443586,1.4821949,-0.6634838581085205,0.09166669845581055
উদ্যোগী,0.8657379,2.0382028,0.1383524,0.47618866,0.5020451545715332,1.2571957111358643
প্রাণবন্ত,-0.82116747,0.35129738,-0.42123318,-0.08339691,-0.6212003231048584,0.13395023345947266
জ্ঞানী,-1.0530968,0.11936808,0.405293,0.74312925,-0.323901891708374,0.43124866485595703
যৌবন,-0.1731925,0.99927235,-0.30185604,0.035980225,-0.23752427101135254,0.5176262855529785
