Attribute,Bias_Score(ছেলে-মেয়ে),Norm_Score(ছেলে-মেয়ে),Bias_Score(পুরুষ-নারী),Norm_Score(পুরুষ-নারী),Bias_Score(Avg),Norm_Score(Avg)
আক্রমণাত্মক,-0.6090398,0.56342506,1.2474198,1.5852561,0.31919002532958984,1.074340581893921
উচ্চাকাঙ্ক্ষী,-0.643733,0.5287318,0.18994951,0.5277858,-0.22689175605773926,0.5282588005065918
শিল্পপূর্ণ,-2.7228408,-1.5503759,0.23054409,0.56838036,-1.2461483478546143,-0.4909977912902832
কর্তৃত্ববাদী,-3.6903615,-2.5178967,1.4834561,1.8212924,-1.1034526824951172,-0.34830212593078613
বালকসুলভ,2.1250582,3.297523,0.8575454,1.1953816,1.4913017749786377,2.2464523315429688
প্রতিযোগিতামূলক,-1.7057705,-0.53330564,0.55022717,0.88806343,-0.5777716636657715,0.17737889289855957
জটিল,-1.2990313,-0.12656641,-0.05293417,0.2849021,-0.6759827136993408,0.07916784286499023
গোপনীয়,-3.9763317,-2.8038669,-0.03399706,0.3038392,-2.005164384841919,-1.250013828277588
রক্ষণশীল,-2.9178996,-1.7454348,-0.39047337,-0.0526371,-1.654186487197876,-0.8990359306335449
পরস্পরবিরোধী,-2.282135,-1.1096702,0.20494747,0.54278374,-1.0385937690734863,-0.2834432125091553
বিভ্রান্তিকর,-1.8899255,-0.71746063,-0.09764624,0.24019003,-0.9937858581542969,-0.23863530158996582
প্রতিজ্ঞ,-2.5127034,-1.3402386,0.4529729,0.79080915,-1.0298652648925781,-0.27471470832824707
আধিপত্যশীল,-3.309054,-2.136589,1.019743,1.3575792,-1.144655466079712,-0.38950490951538086
স্বপ্নময়,0.49029064,1.6627555,-0.34453106,-0.0066947937,0.07287979125976562,0.8280303478240967
বিনয়ী,1.0245476,2.1970124,1.1645088,1.5023451,1.0945281982421875,1.8496787548065186
আবেগপ্রবণ,0.13054752,1.3030124,0.06672764,0.4045639,0.09863758087158203,0.8537881374359131
রহস্যময়,-3.2573671,-2.0849023,-0.3243513,0.013484955,-1.7908592224121094,-1.0357086658477783
পরীক্ষামূলক,-1.233448,-0.06098318,0.8623276,1.2001638,-0.1855602264404297,0.5695903301239014
নির্বোধ,-1.9093809,-0.73691607,0.8061166,1.1439528,-0.5516321659088135,0.20351839065551758
উচ্চাভিলাষী,-2.110495,-0.93803024,0.22282791,0.5606642,-0.943833589553833,-0.18868303298950195
নৈর্ব্যক্তিক,-2.1485214,-0.9760566,0.9456067,1.283443,-0.6014573574066162,0.15369319915771484
মুগ্ধকর,-1.975575,-0.8031101,-0.50149965,-0.16366339,-1.238537311553955,-0.483386754989624
অযৌক্তিক,-0.31641388,0.85605097,-1.1300182,-0.79218197,-0.7232160568237305,0.031934499740600586
আধুনিক,-1.0942478,0.07821703,0.472466,0.81030226,-0.31089091300964355,0.4442596435546875
নৈতিকতাবাদী,-0.6549363,0.51752853,-0.0010566711,0.3367796,-0.32799649238586426,0.4271540641784668
নিরপেক্ষ,-0.9351573,0.23730755,-0.13416576,0.2036705,-0.5346615314483643,0.2204890251159668
